Word,Level
게으르다,2
겪다,2
결혼식,2
경찰관,2
계속하다,2
계절,2
고르다,2
고르다,2
고치다,2
곤충,2
골목,2
곱다,2
곳,2
공기놀이,2
공부,2
공부하다,2
공짜,2
공책,2
괜찮다,2
괴롭히다,2
괴물,2
국어,2
국어,2
굴리다,2
궁금하다,2
귀신,2
규칙,2
그냥,2
그늘,2
그렇다,2
글,2
글,2
금,2
급식,2
기,2
기름,2
기본,2
기분,2
기분,2
기쁘다,2
기쁨,2
기억,2
기억하다,2
깃발,2
깊다,2
까맣다,2
깜깜하다,2
깜박하다,2
깨끗이,2
깨우다,2
꼬맹이,2
꼭대기,2
꼴찌,2
꽃잎,2
꾸미다,2
꿈꾸다,2
끝부분,2
끼어들다,2
나누다,2
나다,2
나라,2
나물,2
나뭇가지,2
나타내다,2
날,2
남,2
남기다,2
남다,2
낱말,2
낱말,2
내다,2
내용,2
너무,2
넣다,2
놀리다,2
농부,2
높임말,2
놓다,2
눈동자,2
느끼다,2
느낌,2
느낌,2
늦잠,2
니,2
다녀오다,2
다음,2
단원,2
달다,2
달력,2
달빛,2
달콤하다,2
담다,2
답안,2
답하다,2
대단하다,2
대답,2
대답하다,2
더,2
더,2
더위,2
데굴데굴,2
데려다주다,2
도서관,2
도움,2
도착,2
도착하다,2
돌려주다,2
동네,2
동영상,2
동화책,2
두,2
두근두근,2
두껍다,2
두드리다,2
뒷문,2
뒷자리,2
드러나다,2
들려주다,2
들리다,2
들어가다,2
따다,2
따르다,2
딱지,2
때,2
떠나다,2
떠올리다,2
떨어지다,2
또박또박,2
뜯다,2
뜻,2
띄다,2
로봇,2
로켓,2
리,2
마르다,2
마리,2
마법,2
마을,2
마음,2
마음,2
마음속,2
마지막,2
막내,2
막대,2
말씀,2
매달리다,2
매우,2
매일매일,2
맨발,2
머리핀,2
먹이,2
먼저,2
멋쟁이,2
멋지다,2
멍청하다,2
멸치,2
명절,2
모둠,2
모든,2
모습,2
모음,2
몰래,2
몸짓,2
무늬,2
무슨,2
무엇,2
무엇,2
묶다,2
문방구,2
문장,2
문제,2
묻다,2
물감,2
물건,2
물속,2
물어보다,2
물음,2
미술,2
미움,2
밀가루,2
바뀌다,2
바라다,2
바라보다,2
바르다,2
바르다,2
바른,2
바쁘다,2
반가워하다,2
반말,2
받침,2
발표하다,2
밝다,2
밤하늘,2
방바닥,2
방법,2
방석,2
벌써,2
별명,2
보고,2
보기,2
보내다,2
보물,2
보이다,2
복도,2
봉투,2
부끄러움,2
부끄럽다,2
부드럽다,2
부럽다,2
부서지다,2
부자,2
부호,2
불빛,2
붉다,2
붙이다,2
비밀,2
비슷하다,2
빈칸,2
빌려주다,2
빌리다,2
빗방울,2
빛,2
사,2
사과하다,2
사물함,2
사이,2
사이좋다,2
산책,2
살금살금,2
살다,2
살펴보다,2
상장,2
새끼,2
새로,2
생각,2
생각,2
생각나다,2
생각하다,2
서랍,2
서로,2
서점,2
선,2
설명,2
설탕,2
세,2
소개하다,2
소중하다,2
소풍,2
손님,2
손자,2
수도꼭지,2
수수깡,2
수수께끼,2
수업,2
수학,2
스마트폰,2
스스로,2
시,2
시간,2
시끄럽다,2
시작,2
시작되다,2
시작하다,2
시장바구니,2
시험,2
식물,2
식사,2
식히다,2
신기하다,2
실내화,2
실수,2
실수하다,2
심다,2
심부름,2
싶다,2
싸움,2
써다,2
쓰기,2
쓰다듬다,2
쓸다,2
아끼다,2
아름답다,2
아무,2
아버지,2
아픔,2
안,2
안녕히,2
안마,2
안전,2
않다,2
않다,2
알리다,2
알림장,2
알맞다,2
알아듣다,2
알아맞히다,2
알아보다,2
앞부분,2
얇다,2
양보,2
어떤,2
어떻다,2
어려움,2
어린아이,2
어머니,2
언제,2
여기,2
여러,2
여러,2
여행,2
여행하다,2
연습,2
연습하다,2
열리다,2
열쇠,2
열심히,2
영화,2
예시,2
예절,2
옛이야기,2
오래,2
오전,2
옮기다,2
요,2
욕심,2
용,2
용,2
용감하다,2
우체국,2
운동,2
운동장,2
움직임,2
웃음소리,2
월,2
위험,2
위험하다,2
유리병,2
